Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.154.108.74-192.168.10.19-123-123-17,192.168.10.19,123,192.154.108.74,123,17,5/7/2017 8:42,69068532,7,7,336,336,48,48,48,0,48,48,48,0,9.729466959,0.202697228,5312964,1.61E+07,5.89E+07,68342,6.90E+07,1.15E+07,2.33E+07,5.90E+07,1999926,6.90E+07,1.15E+07,2.33E+07,5.90E+07,1999789,0,0,0,0,164,152,0.101348614,0.101348614,48,48,48,0,0,0,0,0,0,0,0,0,0,1,51.42857143,48,48,164,0,0,0,0,0,0,7,336,7,336,-1,-1,6,20,1.01E+07,0,1.01E+07,1.01E+07,5.89E+07,0,5.89E+07,5.89E+07,BENIGN
192.168.10.17-91.189.91.157-123-123-17,192.168.10.17,123,91.189.91.157,123,17,5/7/2017 8:43,64036739,2,2,96,96,48,48,48,0,48,48,48,0,2.998278847,0.062464143,2.13E+07,3.69E+07,6.40E+07,36686,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,0,0,0,0,52,52,0.031232071,0.031232071,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,52,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,36686,0,36686,36686,6.40E+07,0,6.40E+07,6.40E+07,BENIGN
192.168.10.19-198.55.111.50-123-123-17,192.168.10.19,123,198.55.111.50,123,17,5/7/2017 8:43,62093865,2,2,96,96,48,48,48,0,48,48,48,0,3.092092914,0.064418602,2.07E+07,3.57E+07,6.19E+07,93852,6.20E+07,6.20E+07,0,6.20E+07,6.20E+07,6.20E+07,6.20E+07,0,6.20E+07,6.20E+07,0,0,0,0,40,40,0.032209301,0.032209301,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,40,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,94033,0,94033,94033,6.19E+07,0,6.19E+07,6.19E+07,BENIGN
192.168.10.17-224.0.0.251-5353-5353-17,192.168.10.17,5353,224.0.0.251,5353,17,5/7/2017 8:42,86799103,242,0,27467,0,221,45,113.5,65.30110596,0,0,0,0,316.4433623,2.788047245,360162.2531,2646842.171,3.20E+07,1,8.68E+07,360162.2531,2646842.171,3.20E+07,1,0,0,0,0,0,0,0,0,0,5500,0,2.788047245,0,45,221,113.9012346,65.46551769,4285.734007,0,0,0,0,0,0,0,0,0,114.3719008,113.5,0,5500,0,0,0,0,0,0,242,27467,0,0,-1,-1,241,20,3072407.25,3616517.442,7004808,14,1.86E+07,9976286.679,3.20E+07,8008216,BENIGN
192.168.10.14-104.88.33.160-49469-443-6,192.168.10.14,49469,104.88.33.160,443,6,5/7/2017 8:43,113235903,9,8,617,5359,249,0,68.55555556,100.43793,1460,0,669.875,617.0020693,52.77478116,0.150129063,7077243.938,2.83E+07,1.13E+08,19,1.13E+08,1.42E+07,4.00E+07,1.13E+08,244,81460,11637.14286,13940.62175,28135,48,0,0,0,0,192,172,0.079480092,0.070648971,0,1460,332,508.3809364,258451.1765,0,0,0,1,0,0,0,0,0,351.5294118,68.55555556,669.875,192,0,0,0,0,0,0,9,617,8,5359,8192,980,8,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-104.88.33.160-49469-443-6,104.88.33.160,443,192.168.10.14,49469,6,5/7/2017 8:45,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,1.23E+07,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-40.77.226.220-49521-443-6,192.168.10.14,49521,40.77.226.220,443,6,5/7/2017 8:45,416621,6,6,744,6161,341,0,124,142.0577347,2601,0,1026.833333,999.761855,16573.81649,28.80315683,37874.63636,48340.07479,99877,50,318408,63681.6,49789.22989,101366,343,319260,63852,58569.56705,117510,50,0,0,0,0,132,132,14.40157841,14.40157841,0,2601,531.1538462,808.7788991,654123.3077,0,0,0,1,0,0,0,0,1,575.4166667,124,1026.833333,132,0,0,0,0,0,0,6,744,6,6161,8192,511,5,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-40.77.226.220-49521-443-6,192.168.10.14,49521,40.77.226.220,443,6,5/7/2017 8:45,162,3,0,97,0,85,6,32.33333333,45.61067127,0,0,0,0,598765.4321,18518.51852,81,43.84062043,112,50,162,81,43.84062043,112,50,0,0,0,0,0,0,0,0,0,60,0,18518.51852,0,6,85,25.75,39.5,1560.25,0,0,0,0,1,0,0,0,0,34.33333333,32.33333333,0,60,0,0,0,0,0,0,3,97,0,0,256,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-23.217.36.24-49471-443-6,192.168.10.14,49471,23.217.36.24,443,6,5/7/2017 8:43,113360374,8,8,650,6118,289,0,81.25,114.1737398,1460,0,764.75,645.2017957,59.70340218,0.141142795,7557358.267,2.92E+07,1.13E+08,5,1.13E+08,1.62E+07,4.28E+07,1.13E+08,181,109107,15586.71429,18995.6822,37863,49,0,0,0,0,172,172,0.070571397,0.070571397,0,1460,398.1176471,561.3788697,315146.2353,0,0,0,1,0,0,0,0,1,423,81.25,764.75,172,0,0,0,0,0,0,8,650,8,6118,8192,980,7,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-23.217.36.24-49471-443-6,23.217.36.24,443,192.168.10.14,49471,6,5/7/2017 8:45,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,1.23E+07,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-60527-17,192.168.10.3,60527,192.168.10.1,53,17,5/7/2017 8:43,26550884,2,2,107,271,56,51,53.5,3.535533906,188,83,135.5,74.24621202,14.23681411,0.150654118,8850294.667,1.53E+07,2.65E+07,30528,2.65E+07,2.65E+07,0,2.65E+07,2.65E+07,2.65E+07,2.65E+07,0,2.65E+07,2.65E+07,0,0,0,0,40,40,0.075327059,0.075327059,51,188,85.8,58.65748034,3440.7,0,0,0,0,0,0,0,0,1,107.25,53.5,135.5,40,0,0,0,0,0,0,2,107,2,271,-1,-1,1,20,30692,0,30692,30692,2.65E+07,0,2.65E+07,2.65E+07,BENIGN
134.170.51.247-192.168.10.14-443-49525-6,192.168.10.14,49525,134.170.51.247,443,6,5/7/2017 8:45,248860,9,7,1489,5819,581,0,165.4444444,228.0033504,1957,0,831.2857143,811.84188,29365.90854,64.29317689,16590.66667,22250.93337,54239,3,248860,31107.5,24391.25925,56946,3,190658,31776.33333,32816.55436,71483,49,0,0,0,0,192,152,36.164912,28.12826489,0,1957,429.8823529,628.113533,394526.6103,0,0,0,1,0,0,0,0,0,456.75,165.4444444,831.2857143,192,0,0,0,0,0,0,9,1489,7,5819,8192,251,8,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.17-207.210.46.249-123-123-17,192.168.10.17,123,207.210.46.249,123,17,5/7/2017 8:43,68026126,7,7,336,336,48,48,48,0,48,48,48,0,9.878557541,0.205803282,5232778.923,1.59E+07,5.80E+07,26156,6.80E+07,1.13E+07,2.29E+07,5.80E+07,1999945,6.80E+07,1.13E+07,2.29E+07,5.80E+07,1999292,0,0,0,0,164,164,0.102901641,0.102901641,48,48,48,0,0,0,0,0,0,0,0,0,0,1,51.42857143,48,48,164,0,0,0,0,0,0,7,336,7,336,-1,-1,6,20,1.00E+07,0,1.00E+07,1.00E+07,5.80E+07,0,5.80E+07,5.80E+07,BENIGN
192.168.10.3-192.168.10.8-123-123-17,192.168.10.8,123,192.168.10.3,123,17,5/7/2017 8:43,64007116,4,4,192,192,48,48,48,0,48,48,48,0,5.999332949,0.124986103,9143873.714,2.42E+07,6.40E+07,3,6.40E+07,2.13E+07,3.70E+07,6.40E+07,3,6.40E+07,2.13E+07,3.70E+07,6.40E+07,3,0,0,0,0,104,104,0.062493052,0.062493052,48,48,48,0,0,0,0,0,0,0,0,0,0,1,54,48,48,104,0,0,0,0,0,0,4,192,4,192,-1,-1,3,20,111,0,111,111,6.40E+07,0,6.40E+07,6.40E+07,BENIGN
192.168.10.3-192.168.10.14-49666-49486-6,192.168.10.14,49486,192.168.10.3,49666,6,5/7/2017 8:44,60590273,27,22,6666,3870,1711,0,246.8888889,433.2779649,312,0,175.9090909,112.8086914,173.8892974,0.808710665,1262297.354,6105722.766,3.03E+07,2,6.06E+07,2330395.115,8215684.188,3.03E+07,2,3.04E+07,1446518.81,6627602.625,3.04E+07,3,0,0,0,0,564,464,0.445616081,0.363094585,0,1711,210.72,327.4702068,107236.7363,0,0,0,1,0,0,0,0,0,215.0204082,246.8888889,175.9090909,564,0,0,0,0,0,0,27,6666,22,3870,8192,2053,25,20,56671,0,56671,56671,3.03E+07,0,3.03E+07,3.03E+07,BENIGN
192.168.10.3-192.168.10.14-49666-49486-6,192.168.10.14,49486,192.168.10.3,49666,6,5/7/2017 8:45,49,1,3,6,18,6,6,6,0,6,6,6,0,489795.9184,81632.65306,16.33333333,24.90649179,45,0,0,0,0,0,0,4,2,2.828427125,4,0,0,0,0,0,20,60,20408.16327,61224.4898,6,6,6,0,0,0,0,0,0,1,1,0,0,3,7.5,6,6,20,0,0,0,0,0,0,1,6,3,18,255,2053,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.19-45.79.109.111-123-123-17,192.168.10.19,123,45.79.109.111,123,17,5/7/2017 8:43,64081033,2,2,96,96,48,48,48,0,48,48,48,0,2.996206381,0.062420966,2.14E+07,3.69E+07,6.39E+07,81019,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,0,0,0,0,52,40,0.031210483,0.031210483,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,52,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,81268,0,81268,81268,6.39E+07,0,6.39E+07,6.39E+07,BENIGN
192.168.10.3-192.168.10.25-389-49152-6,192.168.10.25,49152,192.168.10.3,389,6,5/7/2017 8:45,226530,5,2,0,0,0,0,0,0,0,0,0,0,0,30.90098442,37755,92401.12482,226368,3,226530,56632.5,113157.0085,226368,3,4,4,0,4,4,0,0,0,0,184,80,22.07213173,8.828852691,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,5,0,2,0,65535,8192,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.25-389-49153-6,192.168.10.25,49153,192.168.10.3,389,6,5/7/2017 8:45,1265,11,5,92,5820,39,0,8.363636364,15.39657577,2910,0,1164,1217.350401,4673517.787,12648.22134,84.33333333,161.8167688,633,1,1265,126.5,203.67635,633,1,377,94.25,181.1691199,366,3,0,0,0,0,376,176,8695.652174,3952.56917,0,2910,347.7647059,815.8355785,665587.6912,0,0,0,1,0,0,0,0,0,369.5,8.363636364,1164,376,0,0,0,0,0,0,11,92,5,5820,65535,2081,4,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.19-104.131.53.252-123-123-17,192.168.10.19,123,104.131.53.252,123,17,5/7/2017 8:42,89023981,7,7,336,336,48,48,48,0,48,48,48,0,7.548527851,0.157260997,6847998.538,1.78E+07,6.40E+07,23766,8.90E+07,1.48E+07,2.48E+07,6.40E+07,1999916,8.90E+07,1.48E+07,2.48E+07,6.40E+07,1999655,0,0,0,0,140,140,0.078630498,0.078630498,48,48,48,0,0,0,0,0,0,0,0,0,0,1,51.42857143,48,48,140,0,0,0,0,0,0,7,336,7,336,-1,-1,6,20,4023883,5656642.117,8023733,24033,4.05E+07,3.32E+07,6.40E+07,1.70E+07,BENIGN
192.168.10.12-54.200.60.113-33630-443-6,192.168.10.12,33630,54.200.60.113,443,6,5/7/2017 8:44,61340290,16,12,930,3396,600,0,58.125,155.6568341,1627,0,283,591.1043593,70.52460952,0.456469965,2271862.593,4261414.279,1.02E+07,39,6.13E+07,4089352.667,5135401.058,1.02E+07,115,6.13E+07,5568678.818,5281572.128,1.02E+07,215,0,0,0,0,520,392,0.26083998,0.195629985,0,1627,149.1724138,404.2933932,163453.1478,0,0,0,1,0,0,0,0,0,154.5,58.125,283,520,0,0,0,0,0,0,16,930,12,3396,29200,114,3,32,128796.6667,108506.2243,350284,84364,1.01E+07,96204.62114,1.02E+07,9943775,BENIGN
192.168.10.17-91.189.89.198-123-123-17,192.168.10.17,123,91.189.89.198,123,17,5/7/2017 8:43,66094144,2,2,96,96,48,48,48,0,48,48,48,0,2.904947222,0.060519734,2.20E+07,3.80E+07,6.59E+07,94180,6.60E+07,6.60E+07,0,6.60E+07,6.60E+07,6.60E+07,6.60E+07,0,6.60E+07,6.60E+07,0,0,0,0,64,52,0.030259867,0.030259867,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,64,0,0,0,0,0,0,2,96,2,96,-1,-1,1,32,94180,0,94180,94180,6.59E+07,0,6.59E+07,6.59E+07,BENIGN
192.168.10.14-23.194.141.101-49496-80-6,192.168.10.14,49496,23.194.141.101,80,6,5/7/2017 8:44,60109186,6,5,237,4559,213,0,39.5,85.03117076,1633,0,911.8,832.6206819,79.78813754,0.183000315,6010918.6,1.90E+07,6.01E+07,23,6.01E+07,1.20E+07,2.69E+07,6.01E+07,46,25598,6399.5,11138.78571,23038,50,0,0,0,0,132,112,0.099818354,0.083181962,0,1633,399.6666667,678.1416228,459876.0606,0,0,0,1,0,0,0,0,0,436,39.5,911.8,132,0,0,0,0,0,0,6,237,5,4559,8192,946,5,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-23.194.142.54-49493-80-6,192.168.10.14,49493,23.194.142.54,80,6,5/7/2017 8:44,60390227,9,6,620,4827,198,0,68.88888889,95.85593936,1645,0,804.5,817.7194507,90.19671345,0.248384561,4313587.643,1.60E+07,6.00E+07,36,6.04E+07,7548778.375,2.12E+07,6.00E+07,70,368019,73603.8,135478.4252,314828,157,0,0,0,0,192,132,0.149030736,0.099353824,0,1645,340.4375,604.8967922,365900.1292,0,0,0,1,0,0,0,0,0,363.1333333,68.88888889,804.5,192,0,0,0,0,0,0,9,620,6,4827,8192,1013,8,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.17-199.182.221.110-123-123-17,192.168.10.17,123,199.182.221.110,123,17,5/7/2017 8:42,78072007,9,9,432,432,48,48,48,0,48,48,48,0,11.06670666,0.230556389,4592471,1.39E+07,5.79E+07,71710,7.80E+07,9749991.5,1.96E+07,5.80E+07,1999906,7.80E+07,9750024.125,1.96E+07,5.80E+07,1999807,0,0,0,0,192,192,0.115278194,0.115278194,48,48,48,0,0,0,0,0,0,0,0,0,0,1,50.66666667,48,48,192,0,0,0,0,0,0,9,432,9,432,-1,-1,8,20,6071983,5657042.34,1.01E+07,2071850,3.29E+07,3.54E+07,5.79E+07,7928180,BENIGN
158.69.223.100-192.168.10.17-123-123-17,192.168.10.17,123,158.69.223.100,123,17,5/7/2017 8:43,69016305,7,7,336,336,48,48,48,0,48,48,48,0,9.73682958,0.202850616,5308946.538,1.62E+07,5.90E+07,16356,6.90E+07,1.15E+07,2.33E+07,5.90E+07,1999869,6.90E+07,1.15E+07,2.33E+07,5.90E+07,1999903,0,0,0,0,164,164,0.101425308,0.101425308,48,48,48,0,0,0,0,0,0,0,0,0,0,1,51.42857143,48,48,164,0,0,0,0,0,0,7,336,7,336,-1,-1,6,20,1.00E+07,0,1.00E+07,1.00E+07,5.90E+07,0,5.90E+07,5.90E+07,BENIGN
192.168.10.14-72.21.91.29-49531-80-6,192.168.10.14,49531,72.21.91.29,80,6,5/7/2017 8:45,5058945,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.372036067,0.790678689,1686315,2900366.433,5035342,9,5058945,2529472.5,3543834.632,5035342,23603,0,0,0,0,0,0,0,0,0,72,32,0.593009017,0.197669672,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3,4,0,72,0,0,0,0,0,0,3,12,1,0,8192,65535,2,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-72.21.91.29-49532-80-6,192.168.10.14,49532,72.21.91.29,80,6,5/7/2017 8:45,5030271,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.385557359,0.795185786,1676757,2883625.663,5006453,61,5030271,2515135.5,3523254.997,5006453,23818,0,0,0,0,0,0,0,0,0,72,32,0.59638934,0.198796447,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3,4,0,72,0,0,0,0,0,0,3,12,1,0,8192,65535,2,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-52.11.17.245-49528-443-6,192.168.10.14,49528,52.11.17.245,443,6,5/7/2017 8:45,5207355,8,5,385,3025,204,0,48.125,75.65794737,1506,2,605,801.896502,654.8430057,2.496468937,433946.25,1404080.238,4890905,46,5207355,743907.8571,1829455.343,4890905,48,176720,44180,49927.83254,89916,203,0,0,0,0,172,104,1.536288576,0.96018036,0,1506,243.5714286,528.44441,279253.4945,0,0,0,1,0,0,0,0,0,262.3076923,48.125,605,172,0,0,0,0,0,0,8,385,5,3025,8192,30016,7,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-52.11.17.245-49528-443-6,52.11.17.245,443,192.168.10.14,49528,6,5/7/2017 8:45,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,1.23E+07,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,30016,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-445-49163-6,192.168.10.5,49163,192.168.10.3,445,6,5/7/2017 8:42,119999609,12,12,60,12,6,0,5,2.335496832,6,0,1,2.335496832,0.600001955,0.200000652,5217374.304,1.16E+07,3.00E+07,3,1.20E+08,1.09E+07,1.51E+07,3.00E+07,3,1.20E+08,1.09E+07,1.51E+07,3.00E+07,3,0,0,0,0,264,360,0.100000326,0.100000326,0,6,3.12,3.059411708,9.36,0,0,0,0,1,0,0,0,1,3.25,5,1,264,0,0,0,0,0,0,12,60,12,12,255,2053,9,20,9982.5,19873.66709,39793,41,3.00E+07,19878.66912,3.00E+07,3.00E+07,BENIGN
192.168.10.14-52.84.64.19-49535-443-6,192.168.10.14,49535,52.84.64.19,443,6,5/7/2017 8:45,5883667,8,5,390,3716,209,0,48.75,77.1357801,1992,0,743.2,922.568805,697.8641041,2.209506418,490305.5833,1646725.815,5719022,4,5883667,840523.8571,2151435.525,5719022,4,78734,19683.5,21185.18441,40495,217,0,0,0,0,172,112,1.359696257,0.849810161,0,1992,293.2857143,621.5795547,386361.1429,0,0,0,1,0,0,0,0,0,315.8461538,48.75,743.2,172,0,0,0,0,0,0,8,390,5,3716,8192,119,7,20,164641,0,164641,164641,5719022,0,5719022,5719022,BENIGN
144.217.240.204-192.168.10.17-123-123-17,192.168.10.17,123,144.217.240.204,123,17,5/7/2017 8:42,80016440,8,8,384,384,48,48,48,0,48,48,48,0,9.598027605,0.199958908,5334429.333,1.44E+07,5.60E+07,16198,8.00E+07,1.14E+07,2.02E+07,5.60E+07,1999846,8.00E+07,1.14E+07,2.02E+07,5.60E+07,1999891,0,0,0,0,172,184,0.099979454,0.099979454,48,48,48,0,0,0,0,0,0,0,0,0,0,1,51,48,48,172,0,0,0,0,0,0,8,384,8,384,-1,-1,7,20,5016427,7070950.432,1.00E+07,16510,3.50E+07,2.97E+07,5.60E+07,1.40E+07,BENIGN
192.168.10.17-91.189.89.199-123-123-17,192.168.10.17,123,91.189.89.199,123,17,5/7/2017 8:43,66094122,2,2,96,96,48,48,48,0,48,48,48,0,2.904948189,0.060519754,2.20E+07,3.80E+07,6.59E+07,94233,6.60E+07,6.60E+07,0,6.60E+07,6.60E+07,6.60E+07,6.60E+07,0,6.60E+07,6.60E+07,0,0,0,0,52,60,0.030259877,0.030259877,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,52,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,95322,0,95322,95322,6.59E+07,0,6.59E+07,6.59E+07,BENIGN
192.168.10.17-208.81.1.244-123-123-17,192.168.10.17,123,208.81.1.244,123,17,5/7/2017 8:43,67042763,7,7,336,336,48,48,48,0,48,48,48,0,10.02345324,0.208821942,5157135.615,1.56E+07,5.70E+07,42734,6.70E+07,1.12E+07,2.25E+07,5.70E+07,1999811,6.70E+07,1.12E+07,2.25E+07,5.70E+07,1999529,0,0,0,0,152,152,0.104410971,0.104410971,48,48,48,0,0,0,0,0,0,0,0,0,0,1,51.42857143,48,48,152,0,0,0,0,0,0,7,336,7,336,-1,-1,6,20,1.00E+07,0,1.00E+07,1.00E+07,5.70E+07,0,5.70E+07,5.70E+07,BENIGN
192.168.10.3-192.168.10.25-389-49154-6,192.168.10.25,49154,192.168.10.3,389,6,5/7/2017 8:45,1752,5,2,0,0,0,0,0,0,0,0,0,0,0,3995.43379,292,642.1451549,1602,3,1752,438,776.9903474,1602,3,3,3,0,3,3,0,0,0,0,184,80,2853.881279,1141.552511,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,5,0,2,0,65535,8192,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.255-192.168.10.19-138-138-17,192.168.10.19,138,192.168.10.255,138,17,5/7/2017 8:43,20,11,0,2585,0,235,235,235,0,0,0,0,0,1.29E+08,550000,2,1.825741858,7,1,20,2,1.825741858,7,1,0,0,0,0,0,0,0,0,0,220,0,550000,0,235,235,235,0,0,0,0,0,0,0,0,0,0,0,256.3636364,235,0,220,0,0,0,0,0,0,11,2585,0,0,-1,-1,10,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.255-192.168.10.12-138-138-17,192.168.10.12,138,192.168.10.255,138,17,5/7/2017 8:43,21,11,0,2563,0,233,233,233,0,0,0,0,0,1.22E+08,523809.5238,2.1,2.131770261,8,1,21,2.1,2.131770261,8,1,0,0,0,0,0,0,0,0,0,220,0,523809.5238,0,233,233,233,0,0,0,0,0,0,0,0,0,0,0,254.1818182,233,0,220,0,0,0,0,0,0,11,2563,0,0,-1,-1,10,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.25-3268-49156-6,192.168.10.25,49156,192.168.10.3,3268,6,5/7/2017 8:45,1366,5,2,0,0,0,0,0,0,0,0,0,0,0,5124.450952,227.6666667,481.7578922,1210,4,1366,341.5,580.4127841,1210,4,4,4,0,4,4,0,0,0,0,184,80,3660.322108,1464.128843,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,5,0,2,0,65535,8192,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.25-389-49159-6,192.168.10.25,49159,192.168.10.3,389,6,5/7/2017 8:45,47927,19,8,298,714,64,0,15.68421053,24.00937926,144,0,89.25,58.96912025,21115.44641,563.3567718,1843.346154,9154.975499,46729,1,47927,2662.611111,10997.6418,46729,1,914,130.5714286,149.9587245,349,2,0,0,0,0,632,272,396.4362468,166.920525,0,144,36.14285714,49.64295801,2464.42328,0,0,0,1,0,0,0,0,0,37.48148148,15.68421053,89.25,632,0,0,0,0,0,0,19,298,8,714,65535,2081,8,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.25-389-49158-6,192.168.10.25,49158,192.168.10.3,389,6,5/7/2017 8:45,256680,17,8,284,714,64,0,16.70588235,25.25807966,144,0,89.25,58.96912025,3888.109709,97.39753779,10695,52077.07461,255189,3,256680,16042.5,63772.47408,255189,3,1354,193.4285714,251.1419633,610,3,0,0,0,0,568,272,66.2303257,31.16721209,0,144,38.38461538,50.8763811,2588.406154,0,0,0,1,0,0,0,0,0,39.92,16.70588235,89.25,568,0,0,0,0,0,0,17,284,8,714,65535,2081,6,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-198.41.215.182-49511-80-6,192.168.10.14,49511,198.41.215.182,80,6,5/7/2017 8:44,46460520,6,7,486,4808,234,0,81,118.5360705,1460,0,686.8571429,673.3685045,113.9462064,0.279807458,3871710,1.33E+07,4.60E+07,4,461320,92264,178541.3343,411388,65,4.64E+07,7740865.333,1.87E+07,4.60E+07,4,0,0,0,0,132,152,0.129141904,0.150665554,0,1460,378.1428571,563.689202,317745.5165,0,0,0,1,0,0,0,0,1,407.2307692,81,686.8571429,132,0,0,0,0,0,0,6,486,7,4808,8192,31,5,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-198.41.215.182-49511-80-6,192.168.10.14,49511,198.41.215.182,80,6,5/7/2017 8:45,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.17-206.108.0.132-123-123-17,192.168.10.17,123,206.108.0.132,123,17,5/7/2017 8:42,84028603,8,8,384,384,48,48,48,0,48,48,48,0,9.139744951,0.190411353,5601906.867,1.46E+07,5.60E+07,28624,8.40E+07,1.20E+07,2.03E+07,5.60E+07,1999900,8.40E+07,1.20E+07,2.03E+07,5.60E+07,1999884,0,0,0,0,172,180,0.095205677,0.095205677,48,48,48,0,0,0,0,0,0,0,0,0,0,1,51,48,48,172,0,0,0,0,0,0,8,384,8,384,-1,-1,7,20,5028930.5,7070997.808,1.00E+07,28980,3.70E+07,2.69E+07,5.60E+07,1.80E+07,BENIGN
